Statute,On e-Laws,Minister(s) Responsible,Ministerial Responsibility (OIC and Gazette Date),Legislative History,Part left unconsolidated and unrepealed by R.S.O. 1990,Repealed on d/m/y,Repealed by
"Environmental Assessment Act, R.S.O. 1990, c. E.18","Yes","Minister of the Environment, Conservation and Parks","1149/2018 (10/11/2018)","1993, c. 27, Sch.
1994, c. 27, s. 114
1996, c. 27, s. 1-21
2000, c. 26, Sch. E, s. 2
2000, c. 26, Sch. F, s. 11
2001, c. 9, Sch. G, s. 3
2002, c. 17, Sch. F, Table
2006, c. 11, Sch. B, s. 5
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 32, Sch. C, s. 18
2006, c. 35, Sch. C, s. 34
2009, c. 33, Sch. 15, s. 3
2009, c. 33, Sch. 2, s. 27
2010, c. 16, Sch. 7, s. 1
2019, c. 7, Sch. 17, s. 66
2019, c. 7, Sch. 17, s. 66
2019, c. 9, Sch. 6","","",""
"Environmental Bill of Rights, 1993, S.O. 1993, c. 28","Yes","Minister of the Environment, Conservation and Parks","1149/2018 (10/11/2018)","1996, c. 27, s. 22
1999, c. 5, s. 2
2001, c. 9, Sch. G, s. 4
2002, c. 17, Sch. F, Table
2002, c. 24, Sch. B, s. 25, 34
2004, c. 17, s. 32
2006, c. 19, Sch. K, s. 1
2006, c. 21, Sch. F, s. 109, 136 (1)
2006, c. 35, Sch. C, s. 35
2009, c. 12, Sch. F
2009, c. 33, Sch. 15, s. 4
2009, c. 33, Sch. 6, s. 57
2014, c. 7, Sch. 8
2018, c. 17, Sch. 15, s. 1-12
2019, c. 7, Sch. 17, s. 67
2019, c. 7, Sch. 17, s. 67","","",""
"Environmental Protection Act, 1971, The, S.O. 1971, c. 86","No",,,"2006, c. 21, Sched. F, s. 98","s. 21 (1, 2), 27 (2, 3, 5), 48 (1, 3, 7)","",""
"Environmental Protection Act, R.S.O. 1990, c. E.19","Yes","Minister of the Environment, Conservation and Parks","1149/2018 (10/11/2018)","1992, c. 1, s. 22-35
1993, c. 27, Sch.
1994, c. 23, s. 66
1994, c. 27, s. 115
1994, c. 5
1997, c. 19, s. 34
1997, c. 30, Sch. B, s. 21-23
1997, c. 37, s. 2
1997, c. 6, s. 3
1997, c. 7, s. 1-5
1998, c. 15, Sch. E, s. 10
1998, c. 35, s. 1-43
1998, c. 35, s. 1-43 (But see Public statute provisions repealed under section 10.1 of the Legislation Act, 2006)
2000, c. 22, s. 1
2000, c. 26, Sch. E, s. 3
2000, c. 26, Sch. F, s. 12
2001, c. 17, s. 2
2001, c. 25, s. 484
2001, c. 9, Sch. G, s. 5 (But see Public statute provisions repealed under section 10.1 of the Legislation Act, 2006)
2002, c. 17, Sch. C, s. 11
2002, c. 17, Sch. F, Table
2002, c. 24, Sch. B, s. 25, 35
2002, c. 4, s. 62
2004, c. 17, s. 32
2004, c. 6, s. 7
2005, c. 12, s. 1
2006, c. 19, Sch. K, s. 2
2006, c. 21, Sch. C, s. 108
2006, c. 32, Sch. C, s. 19
2006, c. 33, Sch. Z.3, s. 10
2006, c. 35, Sch. C, s. 36
2007, c. 4, s. 30
2007, c. 7, Sch. 13
2009, c. 12, Sch. G
2009, c. 12, Sch. L, s. 4
2009, c. 19, s. 67
2009, c. 27
2009, c. 33, Sch. 15, s. 5
2009, c. 33, Sch. 2, s. 28
2015, c. 25
2016, c. 7, s. 80
2017, c. 2, Sch. 11, s. 2
2017, c. 20, Sch. 5, s. 1
2018, c. 16, s. 4
2018, c. 3, Sch. 5, s. 20 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 18
2019, c. 7, Sch. 17, s. 68
2019, c. 7, Sch. 17, s. 68
2019, c. 9, Sch. 7
CTS 20 SE 10 - 3","","",""
"Environmental Protection Amendment Act, 1974, S.O. 1974, c. 20","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sched. F, s. 98"
"Environmental Review Tribunal Act, 2000, S.O. 2000, c. 26, Sched. F","Yes","Attorney General","1143/2018 (10/11/2018)","2006, c. 35, Sch. C, s. 37
2009, c. 33, Sch. 2, s. 29
2019, c. 7, Sch. 17, s. 69
2019, c. 7, Sch. 17, s. 69","","",""
"Escheats Act, 2015, S.O. 2015, c. 38, Sched. 4","Yes","Attorney General","1143/2018 (10/11/2018)","2019, c. 7, Sch. 17, s. 70
2019, c. 7, Sch. 17, s. 70","","",""
"Escheats Act, R.S.O. 1990, c. E.20","Yes",,,"1997, c. 23, s. 7
2002, c. 18, Sch. A, s. 7
2007, c. 7, Sch. 14 (see 2015, c. 38, Sch. 4, s. 31)
2009, c. 33, Sch. 2, s. 30
2015, c. 38, Sch. 4, s. 31","","10/12/2016","2015, c. 38, Sched. 4, s. 31"
"Essex County French-language Secondary School Act, 1977, The, S.O. 1977, c. 5","No",,,"1986, c. 21, s. 4","See R.S.O. 1990, Schedule C","30/03/2011","2011, c. 1, Sch. 3, s. 2."
"Estate Administration Tax Act, 1998, S.O. 1998, c. 34, Sched.","Yes","Minister of Finance","1150/2018 (10/11/2018)","2001, c. 23, s. 86, 87
2011, c. 9, Sch. 14
2019, c. 7, Sch. 21
2019, c. 7, Sch. 21","","",""
"Estates Act, R.S.O. 1990, c. E.21","Yes","Attorney General","1143/2018 (10/11/2018)","1994, c. 27, s. 43 (2)
1997, c. 23, s. 8
1998, c. 34, s. 63
1999, c. 12, Sch. B, s. 6
1999, c. 6, s. 23
2002, c. 24, Sch. B, s. 36
2005, c. 5, s. 24
2006, c. 19, Sch. C, s. 1 (1), (3)","","",""
"Estates Administration Act, R.S.O. 1990, c. E.22","Yes","Attorney General","1143/2018 (10/11/2018)","1992, c. 32, s. 10
1994, c. 27, s. 43 (2)
2006, c. 19, Sch. C, s. 1 (1)
2009, c. 33, Sch. 2, s. 31","","",""
"Evidence Act, R.S.O. 1990, c. E.23","Yes","Attorney General","1143/2018 (10/11/2018)","1993, c. 27, Sch.
1995, c. 6, s. 6
1996, c. 25, s. 5
1998, c. 18, Sch. B, s. 7
1998, c. 18, Sch. G, s. 50
1999, c. 12, Sch. B, s. 7
2000, c. 26, Sch. A, s. 7
2001, c. 9, Sch. B, s. 8
2002, c. 17, Sch. F, Table
2002, c. 18, Sch. A, s. 8
2002, c. 8, Sch. I, s. 10
2005, c. 5, s. 25
2006, c. 21, Sch. F, s. 110
2009, c. 33, Sch. 2, s. 32
2011, c. 1, Sch. 1, s. 2
2017, c. 8, Sch. 17, s. 6","","",""
"Excellent Care for All Act, 2010, S.O. 2010, c. 14","Yes","Minister of Health","1110/2019 (31/08/2019)","2010, c. 14, s. 17
2014, c. 13, Sch. 5
2016, c. 30, s. 37
2017, c. 20, Sch. 8, s. 82 (See 2019, c. 5, Sch. 3, s. 26) 
2017, c. 25, Sch. 2
2017, c. 7, s. 2
2019, c. 5, Sch. 3, s. 7
2019, c. 7, Sch. 5, s. 8
2019, c. 7, Sch. 5, s. 8","","",""
"Execution Act, R.S.O. 1990, c. E.24","Yes","Attorney General","1143/2018 (10/11/2018)","1993, c. 27, Sch.
1999, c. 6, s. 24
2000, c. 26, Sch. A, s. 8
2005, c. 5, s. 26
2006, c. 19, Sch. B, s. 6
2006, c. 8, s. 143
2010, c. 16, Sch. 2, s. 3","","",""
"Execution Amendment Act, 1967, S.O. 1967, c. 26","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Executive Council Act, R.S.O. 1990, c. E.25","Yes","Attorney General","1143/2018 (10/11/2018)","1996, c. 6, s. 20, 21
2001, c. 9, Sch. D, s. 13
2002, c. 34, Sch. B, s. 1
2004, c. 25
2006, c. 19, Sch. B, s. 7
2006, c. 19, Sch. I, s. 2
2006, c. 21, Sch. F, s. 111
2006, c. 36, s. 3
2008, c. 19, Sch. F
2013, c. 10, s. 1","","",""
"Expenditure Control Plan Statute Law Amendment Act, 1993, S.O. 1993, c. 32","No",,,,"See R.S.O. 1990, Schedule C","30/01/1996","1996, c. 1, Sch. I, s. 2"
"Expropriations Act, R.S.O. 1990, c. E.26","Yes","Attorney General","1143/2018 (10/11/2018)","1992, c. 32, s. 11
1993, c. 27, Sch.
1997, c. 31, s. 150
1998, c. 15, Sch. E, s. 11
2002, c. 17, Sch. F, Table
2002, c. 18, Sch. A, s. 9
2006, c. 19, Sch. B, s. 8
2006, c. 21, Sch. C, s. 109
2009, c. 33, Sch. 2, s. 33
2011, c. 9, Sch. 27, s. 25
2017, c. 23, Sch. 5, s. 28-36
2019, c. 7, Sch. 17, s. 71
2019, c. 7, Sch. 17, s. 71","","",""
"Extra-Provincial Corporations Act, R.S.O. 1990, c. E.27","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","1994, c. 17, s. 44
1994, c. 27, s. 82
1998, c. 18, Sch. E, s. 87-92 (See 2017, c. 20, Sch. 6, s. 106)
1999, c. 12, Sch. F, s. 25, 26
2001, c. 9, Sch. D, s. 6
2011, c. 1, Sch. 5, s. 4
2017, c. 20, Sch. 6, s. 88-106","","",""
"Factors Act, R.S.O. 1990, c. F.1","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)",,"","",""
"Fair Access to Regulated Professions and Compulsory Trades Act, 2006 (formerly Fair Access to Regulated Professions Act, 2006)","Yes","Minister of Training, Colleges and Universities","1161/2018 (10/11/2018)","2006, c. 35, Sch. C, s. 133
2007, c. 7, Sch. 8, s. 69
2009, c. 22, s. 97
2010, c. 6, Sch. B, s. 75
2013, c. 6, s. 74
2017, c. 2, Sch. 9, s. 1-8
2017, c. 34, Sch. 46, s. 14
2017, c. 8, Sch. 3, s. 75
2018, c. 8, Sch. 15, s. 9","","",""
"Fairness for Parents and Employees Act (Teachers' Withdrawal of Services), 1997, S.O. 1997, c. 32","Yes","Minister of Education, responsibility for which is shared with the Minister of Labour
Minister of Labour, responsibility for which is shared with the Minister of Education","Minister of Education: 1147/2018 (10/11/2018)
Minister of Labour: 1156/2018 (10/11/2018)","1997, c. 32, s. 11
2006, c. 21, Sch. F, s. 136 (1)
2009, c. 33, Sch. 20, s. 5 (1)
2014, c. 5, s. 49","","",""
"Fairness in Procurement Act, 2018, S.O. 2018, c. 4","Yes","President of the Treasury Board","1163/2018 (10/11/2018)",,"","",""
"Fairness is a Two-Way Street Act (Construction Labour Mobility), 1999, S.O. 1999, c. 4","Yes",,,"1999, c. 4, s. 27
2002, c. 17, Sch. F, Table
2002, c. 18, Sch. P. s. 41","","30/06/2006","1999, c. 4, s. 27"
"Family Benefits Act, R.S.O. 1990, c. F.2","Yes",,,"1993, c. 27, Sch.
1996, c. 18, s. 25
1997, c. 25, s. 4 (1)
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 35, Sch. C, s. 38
2009, c. 33, Sch. 18, s. 8","","01/01/2011","1997, c. 25, s. 4 (1)"
"Family Law Act, 1986, S.O. 1986, c. 4","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Family Law Act, R.S.O. 1990, c. F.3","Yes","Attorney General","1143/2018 (10/11/2018)","1992, c. 32, s. 12
1993, c. 27, Sch.
1997, c. 20
1997, c. 25, Sch. E, s. 1
1998, c. 26, s. 102
1999, c. 6, s. 25
2000, c. 33, s. 22
2000, c. 4, s. 12
2002, c. 17, Sch. F, Table
2002, c. 24, Sch. B, s. 25, 37
2004, c. 31, Sch. 38, s. 2
2005, c. 5, s. 27
2006, c. 1, s. 5
2006, c. 19, Sch. B, s. 9
2006, c. 19, Sch. C, s. 1 (1), (2), (4)
2009, c. 11, s. 22-40
2009, c. 33, Sch. 2, s. 34
2014, c. 7, Sch. 9
2015, c. 27, Sch. 1, s. 2
2015, c. 9, s. 28
2016, c. 23, s. 47
2017, c. 34, Sch. 15
2017, c. 8, Sch. 27, s. 21","","",""
"Family Law Amendment Act, 1986, S.O. 1986, c. 35","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Family Law Reform Act, 1978, The, S.O. 1978, c. 2","No",,,"2006, c. 21, Sch. F, s. 98","s. 70 (4, 5), 81 (2), 89","",""
"Family Responsibility and Support Arrears Enforcement Act, 1996, S.O. 1996, c. 31","Yes","Minister of Children, Community and Social Services","1144/2018 (10/11/2018)","1996, c. 31, s. 64 (But see Table of Public statute provisions repealed under section 10.1 of the Legislation Act, 2006)
1997, c. 25, Sch. E, s. 2
1999, c. 12, Sch. B, s. 8
1999, c. 6, s. 26
2001, c. 9, Sch. C, s. 1
2002, c. 13, s. 57
2002, c. 17, Sch. F, Table
2002, c. 8, Sch. I, s. 11
2005, c. 16, s. 1-40 (But see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2005, c. 5, s. 28
2007, c. 7, Sch. 15
2009, c. 33, Sch. 8, s. 2
2010, c. 16, Sch. 4, s. 25 (But see Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006)
2013, c. 13, Sch. 1, s. 13
2014, c. 7, Sch. 10
2016, c. 23, s. 48
2018, c. 6, Sch. 3, s. 9
2019, c. 7, Sch. 17, s. 72
2019, c. 7, Sch. 17, s. 72
See: Table of Public statute provisions repealed under section 10.1 of the Legislation Act, 2006","","",""
"Family Support Plan Act, R.S.O. 1990, c. S.28 (formerly Support and Custody Orders Enforcement Act)","Yes",,,"1991, c. 5, s. 1-12","","12/05/1997","1996, c. 31, s. 73"
"Far North Act, 2010, S.O. 2010, c. 18","Yes","Minister of Natural Resources and Forestry","1158/2018 (10/11/2018)","2010, c. 18, s. 22","","",""
"Farm Implements Act, R.S.O. 1990, c. F.4","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1994, c. 27, s. 18, 58
1999, c. 12, Sch. A, s. 11
2005, c. 19
2006, c. 35, Sch. C, s. 39
2017, c. 2, Sch. 3, s. 3","","",""
"Farm Income Stabilization Act, R.S.O. 1990, c. F.5","Yes",,,,"","01/01/1997","1996, c. 17, Sch. J, s. 1 (3)"
"Farm Loans and Farm Loans Adjustment Repeal Act, 1987, S.O. 1987, 35-36 Elizabeth II, c. 3","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 25"
"Farm Practices Protection Act, R.S.O. 1990, c. F.6","Yes",,,,"","11/05/1998","1998, c. 1, s. 11"
"Farm Products Containers Act, R.S.O. 1990, c. F.7","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","2009, c. 33, Sch. 1, s. 10","","",""
"Farm Products Grades and Sales Act, R.S.O. 1990, c. F.8","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1993, c. 27, Sch.
1994, c. 27, s. 19
1996, c. 17, Sch. D
2009, c. 33, Sch. 1, s. 11","","",""
"Farm Products Marketing Act, 1946, S.O. 1946, 10 George VI, c. 29","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 26 (1)"
"Farm Products Marketing Act, R.S.O. 1990, c. F.9","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1994, c. 27, s. 20
2006, c. 19, Sch. A, s. 7
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 21, Sch. F, s. 136 (1)
2009, c. 33, Sch. 1, s. 12
2009, c. 33, Sch. 6, s. 58
2010, c. 15, s. 225
2017, c. 20, Sch. 8, s. 83","","",""
"Farm Products Marketing Amendment Act, 1955, S.O. 1955, 4 Elizabeth II, c. 21","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 26 (2)"
"Farm Products Marketing Amendment Act, 1957, S.O. 1957, 5-6 Elizabeth II, c. 34","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 26 (3)"
"Farm Products Marketing Amendment Act, 1958, S.O. 1958, 6-7 Elizabeth II, c. 27","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 26 (3)"
"Farm Products Marketing Amendment Act, 1959, S.O. 1959, 7-8 Elizabeth II, c. 35","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 26 (4)"
"Farm Products Marketing Amendment Act, 1972, S.O. 1972, 21 Elizabeth II, c. 156,","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 26 (6)"
"Farm Products Payments Act, R.S.O. 1990, c. F.10","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1993, c. 27, Sch.
1994, c. 27, s. 21
2004, c. 17, s. 32
2006, c. 35, Sch. C, s. 40
2009, c. 31, s. 69
2009, c. 33, Sch. 1, s. 13
2010, c. 15, s. 226 (See 2017, c. 20, Sch. 8, s. 58)
2010, c. 16, Sch. 1, s. 3
2017, c. 2, Sch. 3, s. 4
2017, c. 20, Sch. 8, s. 84
2017, c. 34, Sch. 46, s. 15
2019, c. 7, Sch. 17, s. 171 (2)
2019, c. 7, Sch. 17, s. 171 (2)
2019, c. 7, Sch. 22
2019, c. 7, Sch. 22","","",""
"Farm Products Payments Amendment Act, 1980, S.O. 1980, 28-29 Elizabeth II, c. 82","No",,,,"See R.S.O. 1990, Schedule C","22/06/2006","2006, c. 19, Sch. A, s. 27"
"Farm Registration and Farm Organizations Funding Act, 1993, S.O. 1993, c. 21","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1999, c. 12, Sch. A, s. 12
2006, c. 19, Sch. A, s. 8
2019, c. 4, Sch. 1, s. 4-11
2019, c. 7, Sch. 17, s. 73
2019, c. 7, Sch. 17, s. 73","","",""
"Farming and Food Production Protection Act, 1998, S.O. 1998, c. 1","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","2002, c. 17, Sch. F, Table
2002, c. 4, s. 63
2006, c. 33, Sch. Z.3, s. 11
2006, c. 34, s. 32
2006, c. 35, Sch. C, s. 41
2017, c. 20, Sch. 1","","",""
"Fauteux Report Implementation Act, 1959, S.O. 1959, c. 37","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Federal Carbon Tax Transparency Act, 2019, S.O. 2019, c. 7, Sched. 23","Yes","Minister of Energy, Northern Development and Mines","1106/2019 (31/08/2019)
1148/2018 (10/11/2018)","2019, c. 7, Sch. 23","","",""
"Federal District Commission Act, The, R.S.O. 1950, c. 133","No",,,,"Total","",""
"Female Patients and Prisoners Protection Act, R.S.O. 1937, c. 317","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Ferries Act, R.S.O. 1990, c. F.11","Yes",,,,"","01/01/2003","2001, c. 25, s. 484"
"Film Classification Act, 2005, S.O. 2005, c. 17 ","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","2006, c. 21, Sch. F, s. 136 (1)
2006, c. 34, s. 13
2009, c. 33, Sch. 10, s. 7","","",""
"Financial Accountability Officer Act, 2013, S.O. 2013, c. 4","Yes","Minister of Finance","1150/2018 (10/11/2018)","2015, c. 20, Sch. 10
2018, c. 17, Sch. 16","","",""
"Financial Administration Act, R.S.O. 1990, c. F.12","Yes","Minister of Finance, in respect of sections 1.0.11 to 1.0.13, 1.0.15, 1.0.18, 3, 4, 5.2, 8, 12, 13, 16.1, 16.5, 16.6, 17 to 27,29 to 37 and 46; and in respect of sections 1, 1.0.2, 1.0.14, 1.0.16 to 1.0.17, 1.0.20, 1.0.22, 1.0.25, 1.0.26, 2, 5, 5.1, 6, 7, 8.1, 10.1, 11 , 11.4.1 , 14.1, 16.3, 16.4, 28 and 38 (except clause 38 (1) (a.3)) to 45, the administration of which is shared between the Minister of Finance and the President of Treasury Board
Minister of Government and Consumer Services, in respect of section 1.0.19 and clause 38 (1) (a.3)
President of the Treasury Board, in respect of sections 1.0.1, 1.0.3 to 1.0.10, 1.0.21, 1.0.24, 1.0.25.1, 1.1, 9 to 10, 11.1 to 11.4, 11.5 to 11.8, 15 to 16.0.2 and 47; and in respect of sections 1, 1.0.2, 1.0.14, 1.0.16, 1.0.17, 1.0.20, 1.0.22, 1.0.25, 1.0.26, 2, 5, 5.1, 6, 7, 8.1, 10.1, 11, 11.4.1, 14.1, 16.3, 16.4, 28 and 38 (except clause (1) (a.3)) to 45, the administration of the Act is shared between the President of the Treasury Board and the Minister of Finance","Minister of Finance: 1150/2018 (10/11/2018)
Minister of Government and Consumer Services: 1152/2018 (10/11/2018)
President of the Treasury Board: 1106/2019 (31/08/2019)
President of the Treasury Board: 1163/2018 (10/11/2018)","1991, c. 55
1994, c. 17, s. 62
1996, c. 18, s. 24
1996, c. 24, s. 33-39
1996, c. 29, s. 1-4
1997, c. 43, Sch. F, s. 4
1999, c. 9, s. 112, 113
2002, c. 22, s. 69-71
2002, c. 8, Sch. B
2004, c. 17, s. 32
2004, c. 31, Sch. 13
2004, c. 7, s. 8, 9
2005, c. 28, Sch. E
2006, c. 19, Sch. C, s. 1 (3)
2006, c. 33, Sch. J
2006, c. 35, Sch. C, s. 42
2007, c. 15, s. 40
2008, c. 19, Sch. G
2008, c. 7, Sch. H
2009, c. 18, Sch. 12
2009, c. 34, Sch. J, s. 1-21
2010, c. 1, Sch. 7
2010, c. 26, Sch. 7
2012, c. 8, Sch. 14
2013, c. 13, Sch. 1, s. 14
2015, c. 20, Sch. 11
2015, c. 38, Sch. 5
2015, c. 38, Sch. 7, s. 48
2016, c. 37, Sch. 18, s. 7
2016, c. 37, Sch. 7
2016, c. 5, Sch. 9
2017, c. 8, Sch. 10
2018, c. 17, Sch. 45, s. 6
2019, c. 7, Sch. 17, s. 74
2019, c. 7, Sch. 17, s. 74
2019, c. 7, Sch. 24
2019, c. 7, Sch. 24
2019, c. 7, Sch. 34, s. 2
2019, c. 7, Sch. 34, s. 2","","",""
"Financial Administration Amendment Act, 1968, S.O. 1968, c. 41","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Financial Professionals Title Protection Act, 2019, S.O. 2019, c. 7, Sched. 25","Yes","Minister of Finance","1106/2019 (31/08/2019)
1150/2018 (10/11/2018)","2019, c. 7, Sch. 25","","",""
"Financial Services Commission of Ontario Act, 1997, S.O. 1997, c. 28","Yes","Minister of Finance","1150/2018 (10/11/2018)","1999, c. 12, Sch. I, s. 3
2004, c. 17, s. 32
2004, c. 31, Sch. 14
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 29, s. 62
2006, c. 34, s. 33
2006, c. 35, Sch. C, s. 43
2009, c. 33, Sch. 16, s. 5
2010, c. 1, Sch. 8
2010, c. 26, Sch. 8
2012, c. 8, Sch. 15
2013, c. 2, Sch. 6
2014, c. 9, Sch. 5, s. 1-4
2015, c. 20, Sch. 12
2015, c. 9, s. 29
2017, c. 34, Sch. 17, s. 20
2017, c. 34, Sch. 46, s. 16
2017, c. 8, Sch. 11
2019, c. 7, Sch. 17, s. 75
2019, c. 7, Sch. 17, s. 75
2019, c. 7, Sch. 26
2019, c. 7, Sch. 26
2019, c. 7, Sch. 26, s. 2
2019, c. 7, Sch. 26, s. 2
CTS 04 SE 18 - 4
See: Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006","","",""
"Financial Services Regulatory Authority of Ontario Act, 2016, S.O. 2016, c. 37, Sched. 8","Yes","Minister of Finance","1150/2018 (10/11/2018)","2016, c. 37, Sch. 8, s. 22 (but see 2017, c. 34, Sch. 16, s. 11)
2017, c. 34, Sch. 16 (but see 2018, c. 8, Sch. 11, s. 12)
2017, c. 34, Sch. 17, s. 21
2018, c. 17, Sch. 17
2018, c. 8, Sch. 11
2019, c. 7, Sch. 25, s. 18
2019, c. 7, Sch. 25, s. 18
2019, c. 7, Sch. 27
2019, c. 7, Sch. 27","","",""
"Financial Services Tribunal Act, 2017, S.O. 2017, c. 34, Sched. 17","Yes","Minister of Finance","1150/2018 (10/11/2018)","2019, c. 7, Sch. 17, s. 76
2019, c. 7, Sch. 17, s. 76
2019, c. 7, Sch. 28
2019, c. 7, Sch. 28","","",""
"Fines and Forfeitures Act, R.S.O. 1990, c. F.13","Yes","Attorney General","1143/2018 (10/11/2018)","2006, c. 19, Sch. C, s. 1 (1)","","",""
"Fire Accidents Act, R.S.O. 1990, c. F.14","Yes",,,,"","29/10/1997","1997, c. 4, s. 87"
"Fire Departments Act, R.S.O. 1990, c. F.15","Yes",,,"1996, c. 1, Sch. Q, s. 1","","29/10/1997","1997, c. 4, s. 88"
"Fire Marshals Act, R.S.O. 1990, c. F.17","Yes",,,"1991, c. 45
1993, c. 27, Sch.","","29/10/1997","1997, c. 4, s. 91"
"Fire Protection and Prevention Act, 1997, S.O. 1997, c. 4","Yes","Attorney General, in respect of subsections 26 (3)-(5) and (7), section 27, subsections 33 (2)-(3) and 36 (4)-(5) and Part X; and subsection 26(8) for adjudicative powers relating to the Fire Safety Commission
Minister of Labour, in respect of Part IX
Solicitor General, except in respect of subsections 26 (3) - (5) and (7), section 27, subsections 33 (2)-(3) and 36 (4)-(5), subsection 26(8) for adjudicative powers relating to the Fire Safety Commission, Part IX and Part X","Attorney General: 1143/2018 (10/11/2018)
Minister of Labour: 1156/2018 (10/11/2018)
Solicitor General: 635/2019 (04/05/2019)","1997, c. 21, Sch. A, s. 3
1998, c. 15, Sch. E, s. 12
2001, c. 25, s. 475
2002, c. 17, Sch. F, Table
2002, c. 18, Sch. N, s. 1-14
2004, c. 8, s. 46, Table
2005, c. 33, s. 8-10
2006, c. 19, Sch. M, s. 2
2006, c. 32, Sch. C, s. 20
2006, c. 33, Sch. Z.3, s. 12
2006, c. 35, Sch. C, s. 44
2009, c. 33, Sch. 6, s. 59
2010, c. 15, s. 227
2011, c. 13
2013, c. 14, s. 2-5
2015, c. 34, Sch. 1
2016, c. 37, Sch. 9
2018, c. 17, Sch. 18
2019, c. 7, Sch. 17, s. 77
2019, c. 7, Sch. 17, s. 77
2019, c. 7, Sch. 29
2019, c. 7, Sch. 29
CTS 21 JN 11 - 1","","",""
"Firefighters Exemption Act, R.S.O. 1990, c. F.16","Yes",,,,"","29/10/1997","1997, c. 4, s. 89"
"Firefighters Protection Act, 1993, S.O. 1993, c. 17","Yes",,,,"","29/10/1997","1997, c. 4, s. 90"
"Firefighters' Memorial Day Act, 2000, S.O. 2000, c. 31","Yes","Solicitor General","635/2019 (04/05/2019)",,"","",""
"First Responders Day Act, 2013, S.O. 2013, c. 11","Yes","Minister of Health, responsibility for which is shared with the Solicitor General
Solicitor General, responsibility for which is shared with the Minister of Health","Minister of Health: 1110/2019 (31/08/2019)
Solicitor General: 635/2019 (04/05/2019)",,"","",""
"Fiscal Sustainability, Transparency and Accountability Act, 2019, S.O. 2019, c. 7, Sched. 30","Yes","Minister of Finance","1106/2019 (31/08/2019)
1150/2018 (10/11/2018)","2019, c. 7, Sch. 30","","",""
"Fiscal Transparency and Accountability Act, 2004, S.O. 2004, c. 27","Yes","Minister of Finance, except in respect of section 10 and clause 15 (b), the administration of which is shared between the Minister of Finance and the President of the Treasury Board
President of the Treasury Board, in respect of section 10 and clause 15 (b), the administration of which is shared between the President of the Treasury Board and the Minister of Finance","Minister of Finance: 1150/2018 (10/11/2018)
President of the Treasury Board: 1163/2018 (10/11/2018)","2006, c. 35, Sch. C, s. 45
2008, c. 6, s. 4
2015, c. 38, Sch. 6","","29/05/2019","2019, c. 7, Sched. 30, s. 20"
